resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,source_voltage_num
500,50u,90n,,,800m,,200m,,7.695e-05,2022000000.0,0.3183,CD_resistive_bias,0.8,0.2
500,2u,90n,,,800m,,300m,,6.72e-05,43480000000.0,0.2706,CD_resistive_bias,0.8,0.3
500,3.168u,90n,,,800m,,300m,,8.969e-05,33980000000.0,0.3198,CD_resistive_bias,0.8,0.3
500,5.017u,90n,,,800m,,300m,,0.0001124,24910000000.0,0.3583,CD_resistive_bias,0.8,0.3
500,7.946u,90n,,,800m,,300m,,0.0001321,17400000000.0,0.3855,CD_resistive_bias,0.8,0.3
500,12.58u,90n,,,800m,,300m,,0.0001512,11560000000.0,0.4003,CD_resistive_bias,0.8,0.3
500,19.93u,90n,,,800m,,300m,,0.0001611,7595000000.0,0.4106,CD_resistive_bias,0.8,0.3
500,31.57u,90n,,,800m,,300m,,0.0001689,4793000000.0,0.4111,CD_resistive_bias,0.8,0.3
500,50u,90n,,,800m,,300m,,0.0001731,3049000000.0,0.4131,CD_resistive_bias,0.8,0.3
500,2u,90n,,,800m,,400m,,0.0001073,60570000000.0,0.3335,CD_resistive_bias,0.8,0.4
500,3.168u,90n,,,800m,,400m,,0.0001491,48670000000.0,0.3933,CD_resistive_bias,0.8,0.4
500,5.017u,90n,,,800m,,400m,,0.000193,35460000000.0,0.4358,CD_resistive_bias,0.8,0.4
500,7.946u,90n,,,800m,,400m,,0.0002313,24270000000.0,0.463,CD_resistive_bias,0.8,0.4
500,12.58u,90n,,,800m,,400m,,0.0002674,15760000000.0,0.4751,CD_resistive_bias,0.8,0.4
500,19.93u,90n,,,800m,,400m,,0.0002857,10290000000.0,0.4849,CD_resistive_bias,0.8,0.4
500,31.57u,90n,,,800m,,400m,,0.0003001,6447000000.0,0.4841,CD_resistive_bias,0.8,0.4
500,50u,90n,,,800m,,400m,,0.0003076,4088000000.0,0.4854,CD_resistive_bias,0.8,0.4
500,2u,90n,,,800m,,500m,,0.0001476,72260000000.0,0.371,CD_resistive_bias,0.8,0.5
500,3.168u,90n,,,800m,,500m,,0.0002133,63140000000.0,0.4512,CD_resistive_bias,0.8,0.5
500,5.017u,90n,,,800m,,500m,,0.0002883,47570000000.0,0.501,CD_resistive_bias,0.8,0.5
500,7.946u,90n,,,800m,,500m,,0.0003546,32050000000.0,0.5272,CD_resistive_bias,0.8,0.5
500,12.58u,90n,,,800m,,500m,,0.0004155,20260000000.0,0.5362,CD_resistive_bias,0.8,0.5
500,19.93u,90n,,,800m,,500m,,0.0004452,13030000000.0,0.5432,CD_resistive_bias,0.8,0.5
500,31.57u,90n,,,800m,,500m,,0.0004685,8134000000.0,0.5418,CD_resistive_bias,0.8,0.5
500,50u,90n,,,800m,,500m,,0.0004805,5138000000.0,0.5424,CD_resistive_bias,0.8,0.5
500,2u,90n,,,800m,,600m,,0.0001885,78090000000.0,0.3885,CD_resistive_bias,0.8,0.6
500,3.168u,90n,,,800m,,600m,,0.0002772,72300000000.0,0.4828,CD_resistive_bias,0.8,0.6
500,5.017u,90n,,,800m,,600m,,0.0003912,60240000000.0,0.5545,CD_resistive_bias,0.8,0.6
500,7.946u,90n,,,800m,,600m,,0.0004989,40990000000.0,0.5817,CD_resistive_bias,0.8,0.6
500,12.58u,90n,,,800m,,600m,,0.0005946,25100000000.0,0.5867,CD_resistive_bias,0.8,0.6
500,19.93u,90n,,,800m,,600m,,0.0006399,15940000000.0,0.5917,CD_resistive_bias,0.8,0.6
500,31.57u,90n,,,800m,,600m,,0.0006741,9854000000.0,0.5886,CD_resistive_bias,0.8,0.6
500,50u,90n,,,800m,,600m,,0.0006918,6202000000.0,0.5884,CD_resistive_bias,0.8,0.6
500,2u,90n,,,800m,,700m,,0.000231,82180000000.0,0.4003,CD_resistive_bias,0.8,0.7000000000000001
500,3.168u,90n,,,800m,,700m,,0.0003422,77280000000.0,0.4988,CD_resistive_bias,0.8,0.7000000000000001
500,5.017u,90n,,,800m,,700m,,0.000494,69590000000.0,0.5876,CD_resistive_bias,0.8,0.7000000000000001
500,7.946u,90n,,,800m,,700m,,0.0006587,51000000000.0,0.6284,CD_resistive_bias,0.8,0.7000000000000001
500,12.58u,90n,,,800m,,700m,,0.0008035,30390000000.0,0.6294,CD_resistive_bias,0.8,0.7000000000000001
500,19.93u,90n,,,800m,,700m,,0.0008688,18970000000.0,0.632,CD_resistive_bias,0.8,0.7000000000000001
500,31.57u,90n,,,800m,,700m,,0.0009168,11610000000.0,0.6274,CD_resistive_bias,0.8,0.7000000000000001
500,50u,90n,,,800m,,700m,,0.0009413,7278000000.0,0.6264,CD_resistive_bias,0.8,0.7000000000000001
500,2u,90n,,,800m,,800m,,0.000275,85510000000.0,0.4097,CD_resistive_bias,0.8,0.8
500,3.168u,90n,,,800m,,800m,,0.0004095,81000000000.0,0.5102,CD_resistive_bias,0.8,0.8
500,5.017u,90n,,,800m,,800m,,0.0005974,74790000000.0,0.6041,CD_resistive_bias,0.8,0.8
500,7.946u,90n,,,800m,,800m,,0.0008264,61260000000.0,0.6668,CD_resistive_bias,0.8,0.8
500,12.58u,90n,,,800m,,800m,,0.00104,36220000000.0,0.6661,CD_resistive_bias,0.8,0.8
500,19.93u,90n,,,800m,,800m,,0.001132,22170000000.0,0.6662,CD_resistive_bias,0.8,0.8
500,31.57u,90n,,,800m,,800m,,0.001196,13410000000.0,0.66,CD_resistive_bias,0.8,0.8
500,50u,90n,,,800m,,800m,,0.001229,8368000000.0,0.6583,CD_resistive_bias,0.8,0.8
500,2u,90n,,,900m,,200m,,3.772e-05,20800000000.0,0.1595,CD_resistive_bias,0.9,0.2
500,3.168u,90n,,,900m,,200m,,4.71e-05,15870000000.0,0.1876,CD_resistive_bias,0.9,0.2
500,5.017u,90n,,,900m,,200m,,5.577e-05,11520000000.0,0.2105,CD_resistive_bias,0.9,0.2
500,7.946u,90n,,,900m,,200m,,6.296e-05,8051000000.0,0.2285,CD_resistive_bias,0.9,0.2
500,12.58u,90n,,,900m,,200m,,6.969e-05,5333000000.0,0.2375,CD_resistive_bias,0.9,0.2
500,19.93u,90n,,,900m,,200m,,7.321e-05,3501000000.0,0.2448,CD_resistive_bias,0.9,0.2
500,31.57u,90n,,,900m,,200m,,7.6e-05,2213000000.0,0.2452,CD_resistive_bias,0.9,0.2
500,50u,90n,,,900m,,200m,,7.75e-05,1409000000.0,0.2467,CD_resistive_bias,0.9,0.2
500,2u,90n,,,900m,,300m,,8.069e-05,33110000000.0,0.2273,CD_resistive_bias,0.9,0.3
500,3.168u,90n,,,900m,,300m,,0.0001029,25010000000.0,0.2637,CD_resistive_bias,0.9,0.3
500,5.017u,90n,,,900m,,300m,,0.0001235,17920000000.0,0.2916,CD_resistive_bias,0.9,0.3
500,7.946u,90n,,,900m,,300m,,0.0001406,12350000000.0,0.3115,CD_resistive_bias,0.9,0.3
500,12.58u,90n,,,900m,,300m,,0.0001564,8106000000.0,0.321,CD_resistive_bias,0.9,0.3
500,19.93u,90n,,,900m,,300m,,0.0001645,5310000000.0,0.3294,CD_resistive_bias,0.9,0.3
500,31.57u,90n,,,900m,,300m,,0.0001709,3342000000.0,0.329,CD_resistive_bias,0.9,0.3
500,50u,90n,,,900m,,300m,,0.0001743,2122000000.0,0.3304,CD_resistive_bias,0.9,0.3
500,2u,90n,,,900m,,400m,,0.0001348,47340000000.0,0.2883,CD_resistive_bias,0.9,0.4
500,3.168u,90n,,,900m,,400m,,0.0001764,35450000000.0,0.331,CD_resistive_bias,0.9,0.4
500,5.017u,90n,,,900m,,400m,,0.0002158,25020000000.0,0.3619,CD_resistive_bias,0.9,0.4
500,7.946u,90n,,,900m,,400m,,0.0002481,16980000000.0,0.3821,CD_resistive_bias,0.9,0.4
500,12.58u,90n,,,900m,,400m,,0.0002772,11000000000.0,0.3903,CD_resistive_bias,0.9,0.4
500,19.93u,90n,,,900m,,400m,,0.0002922,7163000000.0,0.3983,CD_resistive_bias,0.9,0.4
500,31.57u,90n,,,900m,,400m,,0.0003038,4487000000.0,0.3969,CD_resistive_bias,0.9,0.4
500,50u,90n,,,900m,,400m,,0.0003099,2841000000.0,0.3977,CD_resistive_bias,0.9,0.4
500,2u,90n,,,900m,,500m,,0.000195,62560000000.0,0.3423,CD_resistive_bias,0.9,0.5
500,3.168u,90n,,,900m,,500m,,0.000264,47580000000.0,0.3914,CD_resistive_bias,0.9,0.5
500,5.017u,90n,,,900m,,500m,,0.0003303,33040000000.0,0.4233,CD_resistive_bias,0.9,0.5
500,7.946u,90n,,,900m,,500m,,0.0003841,21990000000.0,0.4425,CD_resistive_bias,0.9,0.5
500,12.58u,90n,,,900m,,500m,,0.0004318,14020000000.0,0.4486,CD_resistive_bias,0.9,0.5
500,19.93u,90n,,,900m,,500m,,0.0004559,9031000000.0,0.4546,CD_resistive_bias,0.9,0.5
500,31.57u,90n,,,900m,,500m,,0.0004744,5649000000.0,0.4529,CD_resistive_bias,0.9,0.5
500,50u,90n,,,900m,,500m,,0.0004841,3567000000.0,0.4532,CD_resistive_bias,0.9,0.5
500,2u,90n,,,900m,,600m,,0.000256,74990000000.0,0.3814,CD_resistive_bias,0.9,0.6
500,3.168u,90n,,,900m,,600m,,0.0003598,60680000000.0,0.4445,CD_resistive_bias,0.9,0.6
500,5.017u,90n,,,900m,,600m,,0.0004636,42210000000.0,0.4776,CD_resistive_bias,0.9,0.6
